row,sample
1150,development
1151,development
1152,development
1153,holdout
1154,development
1155,holdout
1156,development
1157,development
1158,holdout
1159,holdout
1160,holdout
1161,development
1162,development
1163,holdout
1164,development
1165,development
1166,holdout
1167,development
1168,development
1169,holdout
1170,development
1171,holdout
1172,development
1173,development
1174,holdout
1175,development
1176,holdout
1177,development
1178,development
1179,development
1180,development
1181,holdout
1182,development
1183,development
1184,development
1185,development
1186,development
1187,development
1188,holdout
1189,development
1190,development
1191,development
1192,holdout
1193,development
1194,development
1195,development
1196,development
1197,development
1198,development
1199,holdout
1200,development
1201,development
1202,holdout
1203,development
1204,holdout
1205,holdout
1206,development
1207,development
1208,development
1209,development
1210,development
1211,development
1212,development
1213,holdout
1214,development
1215,development
1216,development
1217,development
1218,development
1219,development
1220,holdout
1221,holdout
1222,holdout
1223,development
1224,development
1225,development
1226,holdout
1227,development
1228,development
1229,holdout
1230,holdout
1231,development
1232,holdout
1233,development
1234,development
1235,holdout
1236,development
1237,development
1238,development
1239,development
1240,development
1241,development
1242,holdout
1243,development
1244,holdout
1245,holdout
1246,holdout
1247,holdout
1248,development
1249,development
1250,holdout
1251,holdout
1252,development
1253,development
1254,development
1255,holdout
1256,development
1257,development
1258,development
1259,development
1260,development
1261,holdout
1262,development
1263,holdout
1264,holdout
1265,development
1266,holdout
1267,development
1268,development
1269,development
1270,development
1271,development
1272,holdout
1273,holdout
1274,development
1275,development
1276,development
1277,holdout
1278,holdout
1279,holdout
1280,holdout
1281,holdout
1282,development
1283,development
1284,holdout
1285,development
1286,holdout
1287,development
1288,development
1289,development
1290,development
1291,development
1292,development
1293,development
1294,development
1295,holdout
1296,development
1297,development
1298,development
1299,holdout
1300,development
1301,development
1302,development
1303,development
1304,development
1305,development
1306,holdout
1307,development
1308,holdout
1309,development
1310,development
1311,development
1312,holdout
1313,development
1314,development
1315,development
1316,development
1317,development
1318,development
1319,development
1320,development
1321,holdout
1322,holdout
1323,development
1324,development
1325,development
1326,development
1327,development
1328,holdout
1329,development
1330,development
1331,holdout
1332,development
1333,development
1334,holdout
1335,development
1336,development
1337,holdout
1338,holdout
1339,holdout
1340,development
1341,holdout
1342,development
1343,development
1344,development
1345,development
1346,development
1347,development
1348,development
1349,development
1350,development
1351,development
1352,development
1353,holdout
1354,holdout
1355,development
1356,development
1357,development
1358,development
1359,development
1360,development
1361,holdout
1362,holdout
1363,development
1364,development
1365,development
1366,development
1367,development
1368,development
1369,development
1370,holdout
1371,development
1372,holdout
1373,development
1374,development
1375,development
1376,development
1377,holdout
1378,holdout
1379,holdout
1380,development
1381,development
1382,holdout
1383,development
1384,holdout
1385,holdout
1386,development
1387,development
1388,development
1389,development
1390,holdout
1391,development
1392,holdout
1393,development
1394,holdout
1395,holdout
1396,holdout
1397,development
1398,development
1399,development
1400,development
1401,development
1402,development
1403,development
1404,holdout
1405,development
1406,holdout
1407,development
1408,development
1409,development
1410,holdout
1411,holdout
1412,development
1413,development
1414,holdout
1415,development
1416,holdout
1417,development
1418,development
1419,holdout
1420,holdout
1421,development
1422,development
1423,development
1424,development
1425,holdout
1426,development
1427,holdout
1428,holdout
1429,development
1430,holdout
1431,development
1432,holdout
1433,holdout
1434,holdout
1435,development
1436,development
1437,development
1438,development
1439,holdout
1440,holdout
1441,development
1442,development
1443,development
1444,holdout
1445,holdout
1446,development
1447,development
1448,development
1449,development
1450,development
1451,development
1452,holdout
1453,holdout
1454,development
1455,development
1456,development
1457,holdout
1458,development
1459,holdout
1460,development
1461,development
1462,development
1463,holdout
1464,development
1465,development
1466,development
1467,development
1468,development
1469,development
1470,holdout
1471,development
1472,holdout
1473,holdout
1474,development
1475,holdout
1476,holdout
1477,development
1478,holdout
1479,development
1480,development
1481,development
1482,development
1483,development
1484,development
1485,holdout
1486,development
1487,development
1488,development
1489,development
1490,development
1491,development
1492,development
1493,development
1494,development
1495,holdout
1496,development
1497,development
1498,development
1499,holdout
1500,holdout
1501,holdout
1502,development
1503,development
1504,development
1505,development
1506,development
1507,development
1508,development
1509,development
1510,holdout
1511,development
1512,development
1513,holdout
1514,development
1515,development
1516,development
1517,development
1518,holdout
1519,development
1520,development
1521,development
1522,development
1523,development
1524,development
1525,holdout
1526,development
1527,holdout
1528,development
1529,holdout
1530,development
1531,development
1532,development
1533,development
1534,development
1535,development
1536,holdout
1537,development
1538,holdout
1539,development
1540,holdout
1541,development
1542,development
1543,development
1544,development
1545,development
1546,development
1547,development
1548,development
1549,development
1550,holdout
1551,holdout
1552,development
1553,holdout
1554,development
1555,holdout
1556,development
1557,development
1558,development
1559,holdout
1560,development
1561,development
1562,development
1563,development
1564,development
1565,holdout
1566,development
1567,holdout
1568,holdout
1569,holdout
1570,development
1571,development
1572,development
1573,development
1574,development
1575,development
1576,development
1577,development
1578,development
1579,holdout
1580,holdout
1581,development
1582,development
1583,holdout
1584,holdout
1585,holdout
1586,development
1587,development
1588,holdout
1589,development
1590,development
1591,holdout
1592,holdout
1593,development
1594,development
1595,holdout
1596,holdout
1597,development
1598,holdout
1599,development
1600,development
1601,holdout
1602,development
1603,development
1604,development
1605,holdout
1606,holdout
1607,development
1608,development
1609,development
1610,holdout
1611,development
1612,holdout
1613,development
1614,holdout
1615,development
1616,development
1617,development
1618,development
1619,development
1620,development
1621,holdout
1622,development
1623,development
1624,development
1625,development
1626,holdout
1627,development
1628,holdout
1629,development
1630,development
1631,development
1632,development
1633,holdout
1634,development
1635,development
1636,development
1637,holdout
1638,development
1639,development
1640,development
1641,development
1642,development
1643,holdout
1644,development
1645,development
1646,holdout
1647,development
1648,development
1649,development
1650,development
1651,development
1652,holdout
1653,development
1654,development
1655,development
1656,holdout
1657,development
1658,development
1659,holdout
1660,holdout
1661,development
1662,development
1663,development
1664,development
1665,holdout
1666,development
1667,holdout
1668,development
1669,development
1670,development
1671,holdout
1672,development
1673,development
1674,development
1675,holdout
1676,development
1677,development
1678,development
1679,development
1680,holdout
1681,development
1682,holdout
1683,development
1684,development
1685,development
1686,development
1687,development
1688,development
1689,development
1690,development
1691,development
1692,development
1693,development
1694,development
1695,development
1696,holdout
1697,development
1698,holdout
1699,holdout
1700,development
1701,development
1702,development
1703,holdout
1704,development
1705,development
1706,development
1707,development
1708,holdout
1709,development
1710,development
1711,development
1712,development
1713,development
1714,development
1715,holdout
1716,development
1717,development
1718,development
1719,development
1720,development
1721,development
1722,development
1723,holdout
1724,development
1725,development
1726,development
1727,development
1728,holdout
1729,development
1730,development
1731,development
1732,development
1733,holdout
1734,development
1735,holdout
1736,development
1737,holdout
1738,holdout
1739,development
1740,development
1741,holdout
1742,development
1743,development
1744,development
1745,development
1746,development
1747,development
1748,development
1749,development
1750,development
1751,holdout
1752,development
1753,holdout
1754,development
1755,holdout
1756,holdout
1757,holdout
1758,development
1759,development
1760,development
1761,development
1762,holdout
1763,development
1764,development
1765,development
1766,holdout
1767,development
1768,development
1769,development
1770,development
1771,development
1772,development
1773,development
1774,development
1775,development
1776,development
1777,development
1778,development
1779,development
1780,holdout
1781,development
1782,holdout
1783,holdout
1784,holdout
1785,development
1786,holdout
1787,development
1788,development
1789,development
1790,development
1791,development
1792,development
1793,holdout
1794,development
1795,development
1796,holdout
1797,development
1798,development
1799,development
1800,development
1801,development
1802,development
1803,development
1804,development
1805,development
1806,development
1807,development
1808,development
1809,development
1810,development
1811,holdout
1812,development
1813,holdout
1814,development
1815,development
1816,development
1817,development
1818,holdout
1819,holdout
1820,development
1821,development
1822,holdout
1823,holdout
1824,development
1825,development
1826,development
1827,development
1828,holdout
1829,development
1830,development
1831,development
1832,holdout
1833,development
1834,holdout
1835,development
1836,holdout
1837,development
1838,development
1839,holdout
1840,development
1841,development
1842,holdout
1843,holdout
1844,holdout
1845,development
1846,development
1847,development
1848,holdout
1849,development
1850,development
1851,development
1852,development
1853,development
1854,holdout
1855,development
1856,holdout
1857,development
1858,development
1859,development
1860,development
1861,holdout
1862,holdout
1863,development
1864,development
1865,development
1866,development
1867,development
1868,development
1869,development
1870,development
1871,development
1872,development
1873,development
1874,development
1875,development
1876,holdout
1877,development
1878,holdout
1879,development
1880,holdout
1881,holdout
1882,development
1883,development
1884,development
1885,holdout
1886,development
1887,development
1888,development
1889,development
1890,development
1891,development
1892,development
1893,development
1894,development
1895,development
1896,development
1897,development
1898,holdout
1899,development
1900,development
1901,development
1902,development
1903,development
1904,holdout
1905,development
1906,development
1907,holdout
1908,development
1909,holdout
1910,development
1911,development
1912,development
1913,holdout
1914,holdout
1915,development
1916,development
1917,development
1918,development
1919,development
1920,holdout
1921,development
1922,development
1923,development
1924,development
1925,development
1926,development
1927,development
1928,development
1929,development
1930,holdout
1931,holdout
1932,holdout
1933,development
1934,development
1935,holdout
1936,development
1937,development
1938,holdout
1939,development
1940,holdout
1941,development
1942,development
1943,holdout
1944,development
1945,holdout
1946,development
1947,development
1948,development
1949,holdout
1950,development
1951,development
1952,development
1953,development
1954,holdout
1955,development
1956,holdout
1957,development
1958,development
1959,development
1960,development
1961,holdout
1962,holdout
1963,development
1964,development
1965,development
1966,holdout
1967,holdout
1968,development
1969,development
1970,holdout
1971,holdout
1972,holdout
1973,development
1974,holdout
1975,development
1976,development
1977,holdout
1978,development
1979,development
1980,development
1981,development
1982,development
1983,holdout
1984,development
1985,development
1986,development
1987,holdout
1988,development
1989,development
1990,development
1991,development
1992,holdout
1993,development
1994,development
1995,development
1996,holdout
1997,development
1998,development
1999,holdout
2000,development
2001,holdout
2002,development
2003,development
2004,development
2005,development
2006,development
2007,holdout
2008,development
2009,development
2010,development
2011,holdout
2012,development
2013,development
2014,development
2015,development
2016,development
2017,development
2018,development
2019,development
2020,holdout
2021,holdout
2022,development
2023,development
2024,holdout
2025,development
2026,development
2027,holdout
2028,holdout
2029,development
2030,development
2031,development
2032,holdout
2033,development
2034,development
2035,holdout
2036,holdout
2037,holdout
2038,development
2039,holdout
2040,development
2041,development
2042,development
2043,development
2044,development
2045,development
2046,development
2047,development
2048,development
2049,development
2050,development
2051,holdout
2052,holdout
2053,development
2054,development
2055,holdout
2056,development
2057,holdout
2058,development
2059,holdout
2060,development
2061,holdout
2062,development
2063,holdout
2064,development
2065,development
2066,development
2067,development
2068,development
2069,development
2070,development
2071,development
2072,development
2073,development
2074,development
2075,development
2076,holdout
2077,holdout
2078,development
2079,holdout
2080,development
2081,development
2082,holdout
2083,development
2084,holdout
2085,holdout
2086,holdout
2087,holdout
2088,holdout
2089,development
2090,development
2091,development
2092,development
2093,holdout
2094,development
2095,development
2096,holdout
2097,holdout
2098,holdout
2099,holdout
2100,development
2101,holdout
2102,development
2103,holdout
2104,development
2105,development
2106,development
2107,development
2108,holdout
2109,development
2110,holdout
2111,holdout
2112,holdout
2113,development
2114,development
2115,development
2116,development
2117,development
2118,holdout
2119,holdout
2120,development
2121,development
2122,development
2123,development
2124,development
2125,holdout
2126,development
2127,development
2128,development
2129,development
2130,holdout
2131,development
2132,development
2133,development
2134,development
2135,development
2136,holdout
2137,development
2138,holdout
2139,development
2140,holdout
2141,holdout
2142,development
2143,development
2144,development
2145,development
2146,development
2147,development
2148,development
2149,development
2150,development
2151,development
2152,holdout
2153,holdout
2154,development
2155,development
2156,development
2157,holdout
2158,development
2159,holdout
2160,holdout
2161,holdout
2162,development
2163,development
2164,development
2165,holdout
2166,development
2167,development
2168,holdout
2169,development
2170,development
2171,development
2172,holdout
2173,development
2174,holdout
2175,development
2176,development
2177,development
2178,development
2179,development
2180,holdout
2181,holdout
2182,development
2183,development
2184,development
2185,holdout
2186,development
2187,development
2188,development
2189,development
2190,development
2191,development
2192,development
2193,holdout
2194,development
2195,development
2196,development
2197,development
2198,development
2199,development
2200,development
2201,holdout
2202,development
2203,holdout
2204,development
2205,holdout
2206,development
2207,development
2208,development
2209,development
2210,development
2211,holdout
2212,development
2213,development
2214,development
2215,holdout
2216,development
2217,development
2218,development
2219,development
2220,holdout
2221,development
2222,holdout
2223,development
2224,holdout
2225,holdout
2226,development
2227,development
2228,holdout
2229,development
2230,development
2231,development
2232,development
2233,development
2234,development
2235,development
2236,holdout
2237,development
2238,development
2239,development
2240,development
2241,development
2242,development
2243,development
2244,development
2245,development
2246,development
2247,development
2248,holdout
2249,development
2250,holdout
2251,holdout
2252,development
2253,development
2254,development
2255,holdout
2256,development
2257,development
2258,development
2259,holdout
2260,holdout
2261,development
2262,development
2263,development
2264,holdout
2265,development
2266,holdout
2267,holdout
2268,holdout
2269,holdout
2270,development
2271,development
2272,development
2273,development
2274,development
2275,development
2276,development
2277,holdout
2278,development
2279,development
2280,development
2281,holdout
2282,development
2283,development
2284,holdout
2285,development
2286,holdout
2287,development
2288,holdout
2289,development
2290,holdout
2291,development
2292,development
2293,development
2294,development
2295,development
2296,development
2297,development
2298,development
2299,holdout
2300,holdout
2301,development
2302,development
2303,holdout
2304,development
2305,development
2306,holdout
2307,development
2308,development
2309,development
2310,development
2311,development
2312,development
2313,development
2314,holdout
2315,development
2316,holdout
2317,development
2318,holdout
2319,development
2320,development
2321,development
2322,holdout
2323,development
2324,development
2325,holdout
2326,holdout
2327,development
2328,holdout
2329,holdout
2330,holdout
2331,holdout
2332,holdout
2333,development
2334,holdout
2335,holdout
2336,development
2337,development
2338,development
2339,development
2340,holdout
2341,development
2342,holdout
2343,development
2344,holdout
2345,development
2346,holdout
2347,holdout
2348,development
2349,development
2350,holdout
2351,development
2352,development
2353,development
2354,development
2355,development
2356,development
2357,development
2358,development
2359,holdout
2360,development
2361,development
2362,development
2363,development
2364,development
2365,development
2366,holdout
2367,development
2368,development
2369,development
2370,development
2371,holdout
2372,development
2373,holdout
2374,holdout
2375,development
2376,development
2377,holdout
2378,development
2379,holdout
2380,holdout
2381,development
2382,holdout
2383,holdout
2384,development
2385,holdout
2386,holdout
2387,development
2388,holdout
2389,development
2390,development
2391,development
2392,development
2393,holdout
2394,holdout
2395,development
2396,development
2397,development
2398,development
2399,holdout
2400,development
2401,development
2402,development
2403,development
2404,development
2405,holdout
2406,holdout
2407,holdout
2408,development
2409,development
2410,development
2411,holdout
2412,development
2413,development
2414,holdout
2415,development
2416,development
2417,development
2418,development
2419,development
2420,development
2421,development
2422,holdout
2423,development
2424,development
2425,development
2426,holdout
2427,development
2428,development
2429,development
2430,development
2431,development
2432,holdout
2433,development
2434,development
2435,development
2436,development
2437,holdout
2438,holdout
2439,development
2440,development
2441,development
2442,holdout
2443,holdout
2444,holdout
2445,development
2446,holdout
2447,holdout
2448,development
2449,development
2450,holdout
2451,holdout
2452,holdout
2453,holdout
2454,holdout
2455,development
2456,development
2457,development
2458,holdout
2459,holdout
2460,development
2461,development
2462,holdout
2463,development
2464,development
2465,development
2466,holdout
2467,development
2468,development
2469,development
2470,development
2471,development
2472,development
2473,holdout
2474,holdout
2475,development
2476,development
2477,development
2478,development
2479,development
2480,development
2481,development
2482,holdout
2483,holdout
2484,holdout
2485,holdout
2486,development
2487,development
2488,holdout
2489,development
2490,development
2491,holdout
2492,development
2493,development
2494,holdout
2495,holdout
2496,development
2497,development
2498,development
2499,holdout
2500,development
2501,development
2502,holdout
2503,development
2504,development
2505,development
2506,development
2507,development
2508,development
2509,development
2510,development
2511,holdout
2512,development
2513,holdout
2514,development
2515,holdout
2516,holdout
2517,development
2518,development
2519,development
2520,development
2521,development
2522,holdout
2523,holdout
2524,holdout
2525,holdout
2526,development
2527,development
2528,development
2529,development
2530,holdout
2531,development
2532,development
2533,development
2534,development
2535,development
2536,development
2537,development
2538,holdout
2539,development
2540,development
2541,development
2542,development
2543,holdout
2544,development
2545,development
2546,holdout
2547,holdout
2548,holdout
2549,holdout
2550,development
2551,holdout
2552,holdout
2553,development
2554,development
2555,holdout
2556,holdout
2557,development
2558,holdout
2559,development
2560,holdout
2561,development
2562,development
2563,holdout
2564,development
2565,development
2566,development
2567,development
2568,development
2569,development
2570,holdout
2571,development
2572,holdout
2573,development
2574,development
2575,development
2576,development
2577,holdout
2578,development
2579,development
2580,holdout
2581,development
2582,development
2583,holdout
2584,holdout
2585,holdout
2586,holdout
2587,development
2588,development
2589,development
2590,development
2591,development
2592,development
2593,development
2594,holdout
2595,development
2596,development
2597,development
2598,holdout
2599,holdout
2600,development
2601,holdout
2602,development
2603,development
2604,holdout
2605,holdout
2606,development
2607,holdout
2608,development
2609,development
2610,development
2611,development
2612,development
2613,development
2614,development
2615,holdout
2616,development
2617,development
2618,development
2619,holdout
2620,development
2621,development
2622,development
2623,holdout
2624,development
2625,holdout
2626,holdout
2627,holdout
2628,development
2629,holdout
2630,holdout
2631,development
2632,holdout
2633,development
2634,development
2635,development
2636,development
2637,development
2638,holdout
2639,development
2640,development
2641,development
2642,development
2643,development
2644,holdout
2645,holdout
2646,development
2647,development
2648,development
2649,holdout
2650,development
2651,holdout
2652,development
2653,holdout
2654,holdout
2655,development
2656,development
2657,development
2658,development
2659,holdout
2660,holdout
2661,development
2662,development
2663,development
2664,development
2665,holdout
2666,development
2667,development
2668,holdout
2669,development
2670,development
2671,holdout
